"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","en11Totaltims_seconds","(Intercept)",3980,3980,3471.74056389338,39.3014017381276,88.3363038047908,"101.312481864479",0,0.0183356917709026
"Abu Dhabi, UAE","en11Totaltims_seconds","adClickTotal_d_clicked1",3980,3980,-270.055044819389,55.3681502102516,-4.87744386969582,"50.3877035313921",1.11752025374657e-05,0.0183356917709026
"Abu Dhabi, UAE","en11Totaltiml_seconds","(Intercept)",3980,3973,3682.67244063539,42.3448635249248,86.9685750307759,"142.924605246737",0,0.017308257937001
"Abu Dhabi, UAE","en11Totaltiml_seconds","adClickTotal_d_clicked1",3980,3973,-271.082801631912,65.5767179184116,-4.13382691657708,"47.309034389947",0.000144735229309072,0.017308257937001
"Abu Dhabi, UAE","en11Totaltimr_seconds","(Intercept)",3980,3973,213.430381138475,12.6429326308522,16.8813982776153,"56.518971642994",0,0.000207058167299286
"Abu Dhabi, UAE","en11Totaltimr_seconds","adClickTotal_d_clicked1",3980,3973,10.1313165251286,23.8448191379458,0.424885442263891,"20.0028579702976",0.6754557045683,0.000207058167299286
"Dubai, UAE","en11Totaltims_seconds","(Intercept)",7521,7470,3350.5987393028,15.1119268558256,221.718829853332,"82.6764820786942",0,0.000286784573043467
"Dubai, UAE","en11Totaltims_seconds","adClickTotal_d_clicked1",7521,7470,-37.6886960800193,39.4287296438077,-0.955868891047023,"52.1437746756966",0.343549227127826,0.000286784573043467
"Dubai, UAE","en11Totaltiml_seconds","(Intercept)",7521,7469,3647.99883734985,20.4125965817441,178.713120731168,"73.3280571372305",0,4.89881499712087e-05
"Dubai, UAE","en11Totaltiml_seconds","adClickTotal_d_clicked1",7521,7469,-16.4977559338961,40.7716280229772,-0.404638145050246,"47.4470100113065",0.687561960278924,4.89881499712087e-05
"Dubai, UAE","en11Totaltimr_seconds","(Intercept)",7521,7469,303.087516491806,11.0142015513759,27.5178836230705,"61.150136268933",0,0.00034707059804157
"Dubai, UAE","en11Totaltimr_seconds","adClickTotal_d_clicked1",7521,7469,22.0183840597208,13.9469933130182,1.57871905188115,"79.4788012205073",0.118372511048614,0.00034707059804157
"United Arab Emirates","en11Totaltims_seconds","(Intercept)",15648,15565,3514.27174501469,21.1726648387718,165.981550823933,"55.95597975504",0,0.00681872853842502
"United Arab Emirates","en11Totaltims_seconds","adClickTotal_d_clicked1",15648,15565,-168.972081035993,29.7115086481364,-5.6870919291603,"63.1062267350477",3.57184008416425e-07,0.00681872853842502
"United Arab Emirates","en11Totaltiml_seconds","(Intercept)",15648,15553,3755.86806590216,22.0994612978509,169.952923977717,"57.8359832102647",0,0.00777613995126564
"United Arab Emirates","en11Totaltiml_seconds","adClickTotal_d_clicked1",15648,15553,-184.960834494012,33.9650316973973,-5.44562525782024,"53.9673112949656",1.29951926768962e-06,0.00777613995126564
"United Arab Emirates","en11Totaltimr_seconds","(Intercept)",15648,15553,245.845562314821,8.37701878489547,29.3476197950162,"58.0598676438683",0,0.000183092558355708
"United Arab Emirates","en11Totaltimr_seconds","adClickTotal_d_clicked1",15648,15553,-11.2921588897387,13.8950966006836,-0.812672211950159,"35.5111747968268",0.421821043532712,0.000183092558355708
"Canada","en11Totaltims_seconds","(Intercept)",9154,8701,3176.71710891642,20.748130911272,153.108591925771,"52.5355715698301",0,9.68999621793675e-05
"Canada","en11Totaltims_seconds","adClickTotal_d_clicked1",9154,8701,27.3669412952831,78.8906353914043,0.346897209782961,"30.7357489790445",0.731032516537502,9.68999621793675e-05
"Canada","en11Totaltiml_seconds","(Intercept)",9154,8674,3341.36956851767,30.3948464818873,109.932108737869,"25.0193515630915",0,0.000327960697472967
"Canada","en11Totaltiml_seconds","adClickTotal_d_clicked1",9154,8674,52.999595907649,106.546167508806,0.497433151720531,"16.630809658361",0.625396086540713,0.000327960697472967
"Canada","en11Totaltimr_seconds","(Intercept)",9154,8674,168.334166322045,15.6989457495593,10.7226414440454,"8.47776865131983",3.21147049642256e-06,0.00186323622657467
"Canada","en11Totaltimr_seconds","adClickTotal_d_clicked1",9154,8674,35.3295318797435,36.8020541197155,0.959988042102706,"7.18819060362334",0.36823201426508,0.00186323622657467
"Denmark","en11Totaltims_seconds","(Intercept)",2506,2499,3247.30512210297,26.8845187427874,120.787176931488,"99.9455322199429",0,6.8406893116614e-05
"Denmark","en11Totaltims_seconds","adClickTotal_d_clicked1",2506,2499,21.0795699791104,61.1209596273779,0.344882837370705,"50.3545032613037",0.731618878284351,6.8406893116614e-05
"Denmark","en11Totaltiml_seconds","(Intercept)",2506,2497,3412.18920362205,30.3696122219432,112.355376113647,"102.348486722409",0,0.000316275442168661
"Denmark","en11Totaltiml_seconds","adClickTotal_d_clicked1",2506,2497,46.6774448707652,61.9311793292145,0.753698627675676,"49.8109849547402",0.454578298019017,0.000316275442168661
"Denmark","en11Totaltimr_seconds","(Intercept)",2506,2497,168.384481169815,10.0615033082109,16.7355191378212,"18.003582791307",2.02948768901479e-12,0.00107075071591435
"Denmark","en11Totaltimr_seconds","adClickTotal_d_clicked1",2506,2497,22.0974752409228,17.5494868990117,1.25915221157647,"47.2609070254428",0.214159062814802,0.00107075071591435
"Georgia","en11Totaltims_seconds","(Intercept)",5557,5557,3854.92364968885,23.6170227038617,163.226487014323,"84.6609185990495",0,3.40361214455894e-06
"Georgia","en11Totaltims_seconds","adClickTotal_d_clicked1",5557,5557,-3.47552704158344,38.6162531367346,-0.0900016640474441,"112.994141064536",0.928445234690571,3.40361214455894e-06
"Georgia","en11Totaltiml_seconds","(Intercept)",5557,5535,4002.58031720168,26.9365547911703,148.592882357536,"86.5192884545193",0,0.000136511219281324
"Georgia","en11Totaltiml_seconds","adClickTotal_d_clicked1",5557,5535,22.525275682273,40.0578452674452,0.562318705159589,"131.644587174083",0.574855153749609,0.000136511219281324
"Georgia","en11Totaltimr_seconds","(Intercept)",5557,5535,145.760860794103,5.86643249833139,24.8465930249027,"97.453751977202",0,0.00386942748247297
"Georgia","en11Totaltimr_seconds","adClickTotal_d_clicked1",5557,5535,31.4342534155474,13.2671332572813,2.3693327568181,"30.6012909291029",0.0243167128982469,0.00386942748247297
"Ireland","en11Totaltims_seconds","(Intercept)",2473,2473,3182.17200704754,25.238014828924,126.086462371066,"129.0446676091",0,2.0416632642141e-05
"Ireland","en11Totaltims_seconds","adClickTotal_d_clicked1",2473,2473,-11.0179643583468,75.5279226834274,-0.145879351197414,"18.8325639352814",0.885566758377536,2.0416632642141e-05
"Ireland","en11Totaltiml_seconds","(Intercept)",2473,2473,3422.34489689045,30.6786723839799,111.554530589061,"116.930989443332",0,0.000387929537613979
"Ireland","en11Totaltiml_seconds","adClickTotal_d_clicked1",2473,2473,50.4466059053969,85.7677136859267,0.588177109280628,"18.8471559189928",0.563395902711751,0.000387929537613979
"Ireland","en11Totaltimr_seconds","(Intercept)",2473,2473,242.539708992985,14.704557014317,16.4941867175486,"43.5682976048478",0,0.0033773981308959
"Ireland","en11Totaltimr_seconds","adClickTotal_d_clicked1",2473,2473,59.0977511136724,27.4634280839818,2.15187087835337,"67.0747095614288",0.0350109809794978,0.0033773981308959
"Israel","en11Totaltims_seconds","(Intercept)",3798,3798,3539.82197450047,19.7249880962545,179.458763535205,"125.128218885923",0,4.25435275284592e-05
"Israel","en11Totaltims_seconds","adClickTotal_d_clicked1",3798,3798,12.7737689433994,38.4807891095474,0.331951845037143,"74.2204264377573",0.740861225732056,4.25435275284592e-05
"Israel","en11Totaltiml_seconds","(Intercept)",3798,3797,3792.47731941724,25.9032644764935,146.40924208062,"125.58353810073",0,0.00139763017860795
"Israel","en11Totaltiml_seconds","adClickTotal_d_clicked1",3798,3797,74.579163189779,40.3022273303429,1.85049730821278,"81.2781470902934",0.0678752738997557,0.00139763017860795
"Israel","en11Totaltimr_seconds","(Intercept)",3798,3797,251.334457888347,11.7447369014905,21.399752075881,"28.4975804502388",0,0.0061216498246862
"Israel","en11Totaltimr_seconds","adClickTotal_d_clicked1",3798,3797,64.1666097446555,15.0007544712553,4.27755882996505,"76.3880830023896",5.41178296531442e-05,0.0061216498246862
"Italy","en11Totaltims_seconds","(Intercept)",3767,3736,3522.6220567696,27.0995653978435,129.988138372504,"54.6861268451629",0,0.00240024176261336
"Italy","en11Totaltims_seconds","adClickTotal_d_clicked1",3767,3736,110.156506708057,40.6097642291923,2.71256208448684,"114.375040774379",0.00770815119663326,0.00240024176261336
"Italy","en11Totaltiml_seconds","(Intercept)",3767,3733,3836.59047291566,35.8173004517081,107.115567743261,"93.8698371776678",0,0.0050198869855275
"Italy","en11Totaltiml_seconds","adClickTotal_d_clicked1",3767,3733,166.742085556304,40.8813583113386,4.07868261828418,"119.410838087482",8.20702126269612e-05,0.0050198869855275
"Italy","en11Totaltimr_seconds","(Intercept)",3767,3733,314.113600186833,17.2317166925006,18.2288048133671,"89.4528031373795",0,0.00274334961953682
"Italy","en11Totaltimr_seconds","adClickTotal_d_clicked1",3767,3733,64.214457073345,30.8419988796823,2.08204589215673,"63.1737550983757",0.0413945225452443,0.00274334961953682
"Norway (5th Grade)","en11Totaltims_seconds","(Intercept)",3610,3593,3084.92807245267,25.7962593363744,119.588194250424,"127.797917324841",0,0.003122774989023
"Norway (5th Grade)","en11Totaltims_seconds","adClickTotal_d_clicked1",3610,3593,-127.697398627088,51.0367390681344,-2.50206813677125,"95.851120071803",0.0140408022677598,0.003122774989023
"Norway (5th Grade)","en11Totaltiml_seconds","(Intercept)",3610,3590,3346.5610855311,34.1192137530889,98.0843553356538,"145.831320517787",0,0.00114764487835749
"Norway (5th Grade)","en11Totaltiml_seconds","adClickTotal_d_clicked1",3610,3590,-82.2329987659866,54.422704234328,-1.51100537768053,"114.526524465189",0.133541395748334,0.00114764487835749
"Norway (5th Grade)","en11Totaltimr_seconds","(Intercept)",3610,3590,262.050167181111,16.6245627019996,15.7628306908543,"75.960483759124",0,0.00344674615919757
"Norway (5th Grade)","en11Totaltimr_seconds","adClickTotal_d_clicked1",3610,3590,56.0237650430942,24.0762842201976,2.32692738342471,"70.6075197219772",0.02284261711165,0.00344674615919757
"Portugal","en11Totaltims_seconds","(Intercept)",4558,4558,3661.96702737295,18.7588762983387,195.212494028614,"51.1448782463234",0,0.00137446652959422
"Portugal","en11Totaltims_seconds","adClickTotal_d_clicked1",4558,4558,-81.6200393783826,38.1585345652881,-2.138972062429,"101.550192055132",0.0348352416341298,0.00137446652959422
"Portugal","en11Totaltiml_seconds","(Intercept)",4558,4557,3900.50530749817,21.2136591335851,183.86763372298,"64.6184690582762",0,1.13736574029393e-05
"Portugal","en11Totaltiml_seconds","adClickTotal_d_clicked1",4558,4557,-7.45037588235258,42.9559716401866,-0.173442145477685,"80.6687238167632",0.862738380977441,1.13736574029393e-05
"Portugal","en11Totaltimr_seconds","(Intercept)",4558,4557,239.430873675277,9.69638009721023,24.6928102317446,"25.9723699656635",0,0.00788275410683986
"Portugal","en11Totaltimr_seconds","adClickTotal_d_clicked1",4558,4557,78.7777530128597,24.3805289894122,3.23117488743049,"41.4184649118812",0.00241843847067136,0.00788275410683986
"Singapore","en11Totaltims_seconds","(Intercept)",6320,6280,2934.1798604771,11.8143351914825,248.357593797786,"122.423296964053",0,0.00188673302570726
"Singapore","en11Totaltims_seconds","adClickTotal_d_clicked1",6320,6280,-87.1790235241408,29.7263854349408,-2.93271523761074,"112.593237049589",0.00407150843684102,0.00188673302570726
"Singapore","en11Totaltiml_seconds","(Intercept)",6320,6267,3096.59491825464,12.4838797410853,248.047480629242,"124.57775908405",0,1.96452752572796e-05
"Singapore","en11Totaltiml_seconds","adClickTotal_d_clicked1",6320,6267,-9.69266018636689,37.3739321610522,-0.2593427992698,"51.1543315428678",0.796411625041494,1.96452752572796e-05
"Singapore","en11Totaltimr_seconds","(Intercept)",6320,6267,181.715062494484,4.14775790217357,43.8104312692067,"67.7242583547364",0,0.0122570442254577
"Singapore","en11Totaltimr_seconds","adClickTotal_d_clicked1",6320,6267,89.0886953254202,15.188542930606,5.86551953880316,"68.298825202145",1.44158506687475e-07,0.0122570442254577
"Slovenia","en11Totaltims_seconds","(Intercept)",4303,4303,3350.34212748776,20.6098541858873,162.560205291599,"145.182179038551",0,0.000108970664741691
"Slovenia","en11Totaltims_seconds","adClickTotal_d_clicked1",4303,4303,26.0843485998228,45.2171628591637,0.57686831615391,"79.8774771672519",0.565650650193538,0.000108970664741691
"Slovenia","en11Totaltiml_seconds","(Intercept)",4303,4303,3588.17484360428,30.2839884117587,118.484223240921,"95.2267489137488",0,0.00107013356055239
"Slovenia","en11Totaltiml_seconds","adClickTotal_d_clicked1",4303,4303,84.7202358965041,45.4990348792971,1.8620227027069,"124.644642345261",0.0649548338413024,0.00107013356055239
"Slovenia","en11Totaltimr_seconds","(Intercept)",4303,4303,239.196181428263,15.3916879819219,15.5406074830264,"46.8938519270938",0,0.00331908848637562
"Slovenia","en11Totaltimr_seconds","adClickTotal_d_clicked1",4303,4303,63.773315959607,26.5633159917166,2.40080402535188,"46.1472821162956",0.0204463963067087,0.00331908848637562
"Sweden","en11Totaltims_seconds","(Intercept)",3879,3838,3076.52445968884,22.4140125798964,137.258978004155,"135.2827050062",0,0.000180728362622822
"Sweden","en11Totaltims_seconds","adClickTotal_d_clicked1",3879,3838,41.9052886102826,56.8461962845288,0.737169614665801,"63.1660487473039",0.463748678091456,0.000180728362622822
"Sweden","en11Totaltiml_seconds","(Intercept)",3879,3821,3240.72396694851,24.2034854364909,133.894929118868,"133.023902973945",0,0.000109345208504363
"Sweden","en11Totaltiml_seconds","adClickTotal_d_clicked1",3879,3821,33.5451807424457,62.7457160766938,0.53462105208017,"39.7526665091625",0.595889701415943,0.000109345208504363
"Sweden","en11Totaltimr_seconds","(Intercept)",3879,3821,161.469297884377,6.2910561711959,25.6664848461657,"41.7533542606175",0,1.75387855569735e-05
"Sweden","en11Totaltimr_seconds","adClickTotal_d_clicked1",3879,3821,-3.06620330477021,13.2544831020443,-0.231333299168588,"32.5307338422321",0.818504798664779,1.75387855569735e-05
"Chinese Taipei","en11Totaltims_seconds","(Intercept)",4299,4299,3466.67226984677,19.9903342186999,173.417424237154,"136.8591907258",0,0.0121670015343901
"Chinese Taipei","en11Totaltims_seconds","adClickTotal_d_clicked1",4299,4299,-166.606800663625,23.3264331988788,-7.14240360895096,"129.993599355583",5.83760963978825e-11,0.0121670015343901
"Chinese Taipei","en11Totaltiml_seconds","(Intercept)",4299,4298,4044.31840609526,34.673827186631,116.638938768623,"129.922611872991",0,2.4953611336074e-05
"Chinese Taipei","en11Totaltiml_seconds","adClickTotal_d_clicked1",4299,4298,8.03028359676592,30.0975450763214,0.266808591079529,"134.475498956302",0.790025248308968,2.4953611336074e-05
"Chinese Taipei","en11Totaltimr_seconds","(Intercept)",4299,4298,584.350447211739,23.9282189777324,24.4209754079706,"127.649567058801",0,0.0212268047303953
"Chinese Taipei","en11Totaltimr_seconds","adClickTotal_d_clicked1",4299,4298,176.55293863009,25.6231846234978,6.89035891612716,"123.546463867979",2.51705767340127e-10,0.0212268047303953
"United States","en11Totaltims_seconds","(Intercept)",4090,4018,3069.10837163746,24.2716924862374,126.448057686036,"85.7271194871617",0,5.37176079623837e-05
"United States","en11Totaltims_seconds","adClickTotal_d_clicked1",4090,4018,16.3625568284703,40.7533574793975,0.401502056284374,"131.065871833749",0.688704415504227,5.37176079623837e-05
"United States","en11Totaltiml_seconds","(Intercept)",4090,4016,3187.36307958268,26.8989581184967,118.493923279167,"79.0133279428145",0,0.000400617729035957
"United States","en11Totaltiml_seconds","adClickTotal_d_clicked1",4090,4016,46.0970992590858,41.6692248725625,1.10626246108645,"119.524831264505",0.270834548445503,0.000400617729035957
"United States","en11Totaltimr_seconds","(Intercept)",4090,4016,126.526045832833,4.80532668021214,26.3303734070475,"76.557633598061",0,0.00448976223940977
"United States","en11Totaltimr_seconds","adClickTotal_d_clicked1",4090,4016,30.2006825811783,13.6122820824557,2.21863478865918,"15.2289895566921",0.0421102586631246,0.00448976223940977
